Foerdersumme,link_total_sum,Begünstigter,link_company,Landkreis,link_location,BundesLand,link_lander,company_url,basis_praemie
"527.688,45",,"Agrar GmbH Usedom & Co. KG – 17406 Usedom, Stadt",/karten/agrarsubventionen_2021-empfaengerdb5b7aa6435c7a67e7a59581bdfde977.html,Landkreis Vorpommern-Greifswald,/karten/landkreis_vorpommern-greifswald-agrarsubventionen_2021-landkreis_13075.html,Mecklenburg-Vorpommern,/karten/mecklenburg-vorpommern-agrarsubventionen_2021-bundesland_5a61ca66ef23199eb6afa5e9bb4779f1.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaengerdb5b7aa6435c7a67e7a59581bdfde977.html,"280.266,94 €"
"527.354,50",,Son-Agro GmbH Sonneborn – 99869 Sonneborn,/karten/agrarsubventionen_2021-empfaenger1cde6d9f973beec74cc2aa83a00ee131.html,"Gotha, Kreis","/karten/gotha,_kreis-agrarsubventionen_2021-landkreis_16067.html",Thüringen,/karten/thüringen-agrarsubventionen_2021-bundesland_cb2af98b84b51f43e63625bd07976206.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaenger1cde6d9f973beec74cc2aa83a00ee131.html,"344.891,51 €"
"527.076,15",,Agrarproduktion Falkenhagen GmbH – 15306 Falkenhagen (Mark),/karten/agrarsubventionen_2021-empfaenger4d55ea9115b39fdd3ab6e4e6176a7599.html,"Märkisch-Oderland, Landkreis","/karten/märkisch-oderland,_landkreis-agrarsubventionen_2021-landkreis_12064.html",Brandenburg,/karten/brandenburg-agrarsubventionen_2021-bundesland_2ddb2d82267087ce442c1a4a3d972c06.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaenger4d55ea9115b39fdd3ab6e4e6176a7599.html,"313.528,75 €"
"527.016,94",,"Agrarunternehmen Lommatzscher Pflege eG vertreten durch den Vorstand – 01623 Lommatzsch, Stadt",/karten/agrarsubventionen_2021-empfaengerb0a51cb70d596fae4448074cd237e1c4.html,"Meißen, Landkreis","/karten/meißen,_landkreis-agrarsubventionen_2021-landkreis_14627.html",Sachsen,/karten/sachsen-agrarsubventionen_2021-bundesland_2b599b5935723d14cbf88a2b4bd8f5db.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaengerb0a51cb70d596fae4448074cd237e1c4.html,"347.362,07 €"
"526.789,23",,Wirtschaftsbetriebe Meppen BIMA – 49762 Lathen,/karten/agrarsubventionen_2021-empfaengerb5fda222343db3223ad9c1be633c3df3.html,"Emsland, Landkreis","/karten/emsland,_landkreis-agrarsubventionen_2021-landkreis_3454.html",Niedersachsen,/karten/niedersachsen-agrarsubventionen_2021-bundesland_032f311e743ecca8a33a292f451d151a.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaengerb5fda222343db3223ad9c1be633c3df3.html,"347.211,43 €"
"526.773,00",,"Stadtgut Berlin Birkholz KG – 16321 Bernau bei Berlin, Stadt",/karten/agrarsubventionen_2021-empfaenger93ccd1a8217ee7c21f9ffcd50440e521.html,"Barnim, Landkreis","/karten/barnim,_landkreis-agrarsubventionen_2021-landkreis_12060.html",Brandenburg,/karten/brandenburg-agrarsubventionen_2021-bundesland_2ddb2d82267087ce442c1a4a3d972c06.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaenger93ccd1a8217ee7c21f9ffcd50440e521.html,"317.202,03 €"
"526.438,48",,Agrargen. Buckau e. G. – 14793 Buckautal,/karten/agrarsubventionen_2021-empfaengerb5bd93156eae5e8e553d214c28438388.html,"Potsdam-Mittelmark, Landkreis","/karten/potsdam-mittelmark,_landkreis-agrarsubventionen_2021-landkreis_12069.html",Brandenburg,/karten/brandenburg-agrarsubventionen_2021-bundesland_2ddb2d82267087ce442c1a4a3d972c06.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaengerb5bd93156eae5e8e553d214c28438388.html,"254.193,14 €"
"526.359,94",,"Muldeland Agrar GmbH Bad Dueben vertreten durch den Geschaeftsfuehrer – 04849 Bad Düben, Stadt",/karten/agrarsubventionen_2021-empfaengerbeb9f549eb54bc8be6c2e1bbf3399698.html,"Nordsachsen, Landkreis","/karten/nordsachsen,_landkreis-agrarsubventionen_2021-landkreis_14730.html",Sachsen,/karten/sachsen-agrarsubventionen_2021-bundesland_2b599b5935723d14cbf88a2b4bd8f5db.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaengerbeb9f549eb54bc8be6c2e1bbf3399698.html,"288.865,21 €"
"526.229,40",,Kirchengem. St. Johannis auf Hallig Hooge – 25859 Hallig Hooge,/karten/agrarsubventionen_2021-empfaenger814ee1a948d44a4b8ab8e7faa7504199.html,"Nordfriesland, Landkreis","/karten/nordfriesland,_landkreis-agrarsubventionen_2021-landkreis_1054.html",Schleswig-Holstein,/karten/schleswig-holstein-agrarsubventionen_2021-bundesland_b20684bddefbc33f6db8d8adbf6bc4e7.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaenger814ee1a948d44a4b8ab8e7faa7504199.html,
"526.110,06",,Agrargenossenschaft Jesewitz eG vertreten durch den Vorstand – 04838 Jesewitz,/karten/agrarsubventionen_2021-empfaenger98c1290add4c4babc3d1faba35c264db.html,"Nordsachsen, Landkreis","/karten/nordsachsen,_landkreis-agrarsubventionen_2021-landkreis_14730.html",Sachsen,/karten/sachsen-agrarsubventionen_2021-bundesland_2b599b5935723d14cbf88a2b4bd8f5db.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaenger98c1290add4c4babc3d1faba35c264db.html,"329.200,40 €"
"526.073,34",,"GbR Kieser – 98673 Eisfeld, Stadt",/karten/agrarsubventionen_2021-empfaengerfa5c4951f93c801f5cc8cce1f6f7de04.html,"Hildburghausen, Kreis","/karten/hildburghausen,_kreis-agrarsubventionen_2021-landkreis_16069.html",Thüringen,/karten/thüringen-agrarsubventionen_2021-bundesland_cb2af98b84b51f43e63625bd07976206.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaengerfa5c4951f93c801f5cc8cce1f6f7de04.html,"112.745,67 €"
"525.906,06",,AG eG Jübar – 38489 Jübar,/karten/agrarsubventionen_2021-empfaenger22bfc5d774c2bd336513228ae5920fa2.html,Altmarkkreis Salzwedel,/karten/altmarkkreis_salzwedel-agrarsubventionen_2021-landkreis_15081.html,Sachsen-Anhalt,/karten/sachsen-anhalt-agrarsubventionen_2021-bundesland_26b09cd026477d8cc9e4bf59622979a9.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaenger22bfc5d774c2bd336513228ae5920fa2.html,"314.185,97 €"
"525.207,94",,"Voss, Johann-Gustav – 25764 Oesterwurth",/karten/agrarsubventionen_2021-empfaenger7a6c2af8c17442ca142de078f3648a4f.html,"Dithmarschen, Landkreis","/karten/dithmarschen,_landkreis-agrarsubventionen_2021-landkreis_1051.html",Schleswig-Holstein,/karten/schleswig-holstein-agrarsubventionen_2021-bundesland_b20684bddefbc33f6db8d8adbf6bc4e7.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaenger7a6c2af8c17442ca142de078f3648a4f.html,"135.593,77 €"
"524.718,23",,"Agrargenossenschaft Trebitz/Klein Muckrow eG – 15848 Friedland, Stadt",/karten/agrarsubventionen_2021-empfaenger2cd368b4ceab289493b3ad3ecea06c30.html,"Oder-Spree, Landkreis","/karten/oder-spree,_landkreis-agrarsubventionen_2021-landkreis_12067.html",Brandenburg,/karten/brandenburg-agrarsubventionen_2021-bundesland_2ddb2d82267087ce442c1a4a3d972c06.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaenger2cd368b4ceab289493b3ad3ecea06c30.html,"314.406,37 €"
"524.669,17",,"Agrargenossenschaft Nöbdenitz e.G. – 04626 Schmölln, Stadt",/karten/agrarsubventionen_2021-empfaengerc15dff2104b8a00cb06b073f8bae77ae.html,"Altenburger Land, Kreis","/karten/altenburger_land,_kreis-agrarsubventionen_2021-landkreis_16077.html",Thüringen,/karten/thüringen-agrarsubventionen_2021-bundesland_cb2af98b84b51f43e63625bd07976206.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaengerc15dff2104b8a00cb06b073f8bae77ae.html,"345.808,96 €"
