Foerdersumme,link_total_sum,Begünstigter,link_company,Landkreis,link_location,BundesLand,link_lander,company_url,basis_praemie
"1.412.475,59",,"Stadt Bad Elster – 08645 Bad Elster, Stadt",/karten/agrarsubventionen_2021-empfaenger1f45d6863e056e84f311520a301f2448.html,Vogtlandkreis,/karten/vogtlandkreis-agrarsubventionen_2021-landkreis_14523.html,Sachsen,/karten/sachsen-agrarsubventionen_2021-bundesland_2b599b5935723d14cbf88a2b4bd8f5db.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaenger1f45d6863e056e84f311520a301f2448.html,
"1.408.089,30",,"Talsperrenbetrieb Sachsen-Anhalt – 38889 Blankenburg (Harz), Stadt",/karten/agrarsubventionen_2021-empfaenger18cc723e6d6e1c4eb10aba68c2da35a0.html,"Harz, Landkreis","/karten/harz,_landkreis-agrarsubventionen_2021-landkreis_15085.html",Sachsen-Anhalt,/karten/sachsen-anhalt-agrarsubventionen_2021-bundesland_26b09cd026477d8cc9e4bf59622979a9.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaenger18cc723e6d6e1c4eb10aba68c2da35a0.html,
"1.403.419,09",,Agrargenossenschaft Martinroda e.G. – 98693 Martinroda,/karten/agrarsubventionen_2021-empfaenger3557437de2220c010679feea0f754b5c.html,Ilm-Kreis,/karten/ilm-kreis-agrarsubventionen_2021-landkreis_16070.html,Thüringen,/karten/thüringen-agrarsubventionen_2021-bundesland_cb2af98b84b51f43e63625bd07976206.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaenger3557437de2220c010679feea0f754b5c.html,"207.871,69 €"
"1.400.089,91",,Müller Fleisch GmbH – 75217 Birkenfeld,/karten/agrarsubventionen_2021-empfaengerf1591b6051cf8078cf445c1d6fecce52.html,"Enzkreis, Landkreis","/karten/enzkreis,_landkreis-agrarsubventionen_2021-landkreis_8236.html",Baden-Württemberg,/karten/baden-württemberg-agrarsubventionen_2021-bundesland_3de1eff1f013e413457d6de70c7dc493.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaengerf1591b6051cf8078cf445c1d6fecce52.html,
"1.395.044,14",,"Landesbetrieb Forst Baden-Würt – 70182 Stuttgart, Landeshauptstadt",/karten/agrarsubventionen_2021-empfaenger47eff277da49c9b9bceb331044df13a3.html,"Stuttgart, Landeshauptstadt, Stadtkreis","/karten/stuttgart,_landeshauptstadt,_stadtkreis-agrarsubventionen_2021-landkreis_8111.html",Baden-Württemberg,/karten/baden-württemberg-agrarsubventionen_2021-bundesland_3de1eff1f013e413457d6de70c7dc493.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaenger47eff277da49c9b9bceb331044df13a3.html,
"1.384.966,25",,Gut Darß GmbH & Co. KG – 18375 Born a. Darß,/karten/agrarsubventionen_2021-empfaenger965a7affb561f7bd76fcf2cabcb7c386.html,Landkreis Vorpommern-Rügen,/karten/landkreis_vorpommern-rügen-agrarsubventionen_2021-landkreis_13073.html,Mecklenburg-Vorpommern,/karten/mecklenburg-vorpommern-agrarsubventionen_2021-bundesland_5a61ca66ef23199eb6afa5e9bb4779f1.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaenger965a7affb561f7bd76fcf2cabcb7c386.html,"436.443,58 €"
"1.377.220,98",,Saatzucht Steinach GmbH & CoKG – 17349 Lindetal,/karten/agrarsubventionen_2021-empfaenger5a37fb9a56215af59f00407dcae589e9.html,Landkreis Mecklenburgische Seenplatte,/karten/landkreis_mecklenburgische_seenplatte-agrarsubventionen_2021-landkreis_13071.html,Mecklenburg-Vorpommern,/karten/mecklenburg-vorpommern-agrarsubventionen_2021-bundesland_5a61ca66ef23199eb6afa5e9bb4779f1.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaenger5a37fb9a56215af59f00407dcae589e9.html,"908.597,42 €"
"1.370.973,28",,Güritzer Agrar GmbH – 19294 Eldena,/karten/agrarsubventionen_2021-empfaenger708c25c21aab9a897f9180c6465d4c78.html,Landkreis Ludwigslust-Parchim,/karten/landkreis_ludwigslust-parchim-agrarsubventionen_2021-landkreis_13076.html,Mecklenburg-Vorpommern,/karten/mecklenburg-vorpommern-agrarsubventionen_2021-bundesland_5a61ca66ef23199eb6afa5e9bb4779f1.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaenger708c25c21aab9a897f9180c6465d4c78.html,"423.686,55 €"
"1.362.047,57",,"Stadt Crivitz über Amt Crivitz – 19089 Crivitz, Stadt",/karten/agrarsubventionen_2021-empfaengerbbd380cd6c542b2d74c845356d161e97.html,Landkreis Ludwigslust-Parchim,/karten/landkreis_ludwigslust-parchim-agrarsubventionen_2021-landkreis_13076.html,Mecklenburg-Vorpommern,/karten/mecklenburg-vorpommern-agrarsubventionen_2021-bundesland_5a61ca66ef23199eb6afa5e9bb4779f1.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaengerbbd380cd6c542b2d74c845356d161e97.html,
"1.350.144,74",,Rhönland  eG – 36466 Dermbach,/karten/agrarsubventionen_2021-empfaenger44b08350ad87e1164befd6055026451b.html,Wartburgkreis,/karten/wartburgkreis-agrarsubventionen_2021-landkreis_16063.html,Thüringen,/karten/thüringen-agrarsubventionen_2021-bundesland_cb2af98b84b51f43e63625bd07976206.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaenger44b08350ad87e1164befd6055026451b.html,"514.088,20 €"
